company,date,naf,num_emp
Teréga,20-10-1955,Transports par conduites (4950Z),500 à 999 salariés
GRETA CFA AQUITAINE,,,
GROUPE SCOPELEC,25-09-1973,"Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels (3320D)",1000 à 1999 salariés
Groupement d'Employeurs Occitanie Handball,,Autre mise à disposition de ressources humaines (7830Z),3 à 5 salariés
Réseau Canope,,Activités de soutien à l'enseignement (8560Z),1000 à 1999 salariés
Conseil Général de Haute-Garonne,,Administration publique générale (8411Z),5000 à 9999 salariés
HYDRO BUILDING SYSTEMS FRANCE,18-12-2003,Commerce de gros (commerce interentreprises) de minerais et métaux (4672Z),500 à 999 salariés
APAS 82,,Activités des infirmiers et des sages-femmes (8690D),50 à 99 salariés
IN'LI SUD OUEST,24-10-1975,Location de logements (6820A),20 à 49 salariés
SAS DOMAINE DU MOULINAL - CAMPING CAPFUN,22-06-1989,Terrains de camping et parcs pour caravanes ou véhicules de loisirs (5530Z),10 à 19 salariés
Gascogne,03-07-1986,Activités des sièges sociaux (7010Z),20 à 49 salariés
L.I.P,22-02-2007,Activités des sociétés holding (6420Z),20 à 49 salariés
Randstad Mimizan,17-04-2007,Restauration de type rapide (5610C),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
Ariane Group,22-06-2012,Construction aéronautique et spatiale (3030Z),2000 à 4999 salariés
ACCES INDUS,21-12-1998,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a. (7739Z)",250 à 499 salariés
BPS INTERIM CDI CDD,,,
Université de Toulouse / INSA,,Enseignement supérieur (8542Z),500 à 999 salariés
Geco Recrutement,22-01-2016,Activités des agences de placement de main-d'oeuvre (7810Z),
ORSO & PAOLI,25-02-2020,Conseil pour les affaires et autres conseils de gestion (7022Z),
Arkema Americas,,Conseil pour les affaires et autres conseils de gestion (7022Z),
TIME RECRUTEMENT,03-04-2015,Conseil pour les affaires et autres conseils de gestion (7022Z),3 à 5 salariés
AECE,04-11-2015,Autres commerces de détail spécialisés divers (4778C),0 salarié (unités ayant eu des salariés au cours de l'année de référence mais plus d'effectif au 31/12)
SOLUCES RH,17-11-2014,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
INNOVA,19-07-2004,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (4651Z)",3 à 5 salariés
BABCOCK WANSON,22-12-2015,"Ingénierie, études techniques (7112B)",100 à 199 salariés
ING'EUROP,18-07-1989,"Ingénierie, études techniques (7112B)",20 à 49 salariés
UIMM ADOUR ATLANTIQUE,26-09-2003,Location de terrains et d'autres biens immobiliers (6820B),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
GET Carrières,30-12-2009,Activités des agences de travail temporaire (7820Z),6 à 9 salariés
babcock-wanson,22-12-2015,"Ingénierie, études techniques (7112B)",100 à 199 salariés
Synergie,18-06-1984,Activités des agences de travail temporaire (7820Z),1000 à 1999 salariés
Groupe Terres du Sud,02-04-1991,Commerce de gros (commerce interentreprises) d'animaux vivants (4623Z),250 à 499 salariés
Euralis,04-07-1988,Préparation industrielle de produits à base de viande (1013A),1000 à 1999 salariés
AB7,22-04-2016,Autres activités récréatives et de loisirs (9329Z),
MAÏSADOUR,22-08-2002,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail (4621Z)",250 à 499 salariés
Kelly Services,27-10-1977,Activités des agences de travail temporaire (7820Z),250 à 499 salariés
AQUALIA,24-02-2003,Travaux d'installation d'équipements thermiques et de climatisation (4322B),10 à 19 salariés
Public Labos,,"Analyses, essais et inspections techniques (7120B)",
LFC HUMAIN,25-03-2003,Conseil pour les affaires et autres conseils de gestion (7022Z),10 à 19 salariés
Santé Publique France,,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale (8412Z)",500 à 999 salariés
SOCOPI,21-11-1995,Commerce de gros (commerce interentreprises) d'autres biens domestiques (4649Z),50 à 99 salariés
La Hourquie Café,31-03-2015,Débits de boissons (5630Z),1 à 2 salariés
SNC POUPOT,31-10-2002,Commerce de détail de boissons en magasin spécialisé (4725Z),1 à 2 salariés
API MONTAUBAN,10-11-2017,Activités des agences de travail temporaire (7820Z),
CVO-EUROPE,27-03-2003,Conseil pour les affaires et autres conseils de gestion (7022Z),100 à 199 salariés
CDG CONSEIL,01-09-2006,Conseil pour les affaires et autres conseils de gestion (7022Z),6 à 9 salariés
U'RSELF,25-05-2016,Conseil pour les affaires et autres conseils de gestion (7022Z),10 à 19 salariés
Connectt Travail Temporaire,18-10-2006,Activités des agences de travail temporaire (7820Z),20 à 49 salariés
Ingerop,18-04-2006,"Ingénierie, études techniques (7112B)",1000 à 1999 salariés
ademeure,09-06-2017,"Ingénierie, études techniques (7112B)",
Fritz EGGER,29-09-1983,Fonds de placement et entités financières similaires (6430Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SA DAZEAS,01-02-1991,Travaux de menuiserie bois et pvc (4332A),10 à 19 salariés
übi,06-11-2008,"Ingénierie, études techniques (7112B)",20 à 49 salariés
Groupe Samse,14-06-1921,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction (4673A),1000 à 1999 salariés
Azaé Toulouse Est,,,
Ouihelp,15-03-2018,Aide à domicile (8810A),10 à 19 salariés
Domaliance Montauban,,,
Azaé Pau,06-03-2007,Autres activités de soutien aux entreprises n.c.a. (8299Z),50 à 99 salariés
Solutia,25-03-2004,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels (4651Z)",10 à 19 salariés
Derichebourg Intérim,05-09-1960,Activités des agences de travail temporaire (7820Z),50 à 99 salariés
Mericq,21-02-1992,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques (4638A)",250 à 499 salariés
CHIVA - Site de Saint Jean de Verges,,Activités hospitalières (8610Z),1000 à 1999 salariés
Consept,30-03-2005,"Ingénierie, études techniques (7112B)",20 à 49 salariés
Domaine UBY,19-08-2004,Commerce de gros (commerce interentreprises) de boissons (4634Z),10 à 19 salariés
Nature et Loisirs,16-04-1980,Activités des sociétés holding (6420Z),3 à 5 salariés
Cadreo,21-11-2007,Autre création artistique (9003B),
EURO TVS,24-06-1970,"Traitement de données, hébergement et activités connexes (6311Z)",250 à 499 salariés
Randstad Orthez,,,
Samsic Emploi,17-02-2014,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
Work&You,14-05-2019,Conseil pour les affaires et autres conseils de gestion (7022Z),
HAPPY JOB TONNEINS,,,
temporis,26-02-1998,Conseil pour les affaires et autres conseils de gestion (7022Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
Manpower,12-06-1997,Activités des agences de travail temporaire (7820Z),2000 à 4999 salariés
Randstad Villeneuve sur Lot,,,
INTERMARCHE,08-09-1982,Hypermarchés (4711F),50 à 99 salariés
ARMANDIE RH,20-12-2010,Activités des agences de travail temporaire (7820Z),6 à 9 salariés
Aéos Consultants,01-04-2011,Activités des agences de placement de main-d'oeuvre (7810Z),1 à 2 salariés
Welljob,01-10-2014,Activités des agences de travail temporaire (7820Z),10 à 19 salariés
Ariège Emploi Carrière Lauriane,22-03-1999,Hôtels et hébergement similaire (5510Z),Unités non employeuses (pas de salarié au cours de l'année de référence et pas d'effectif au 31/12).
SOLUTION RECRUTEMENT,09-08-2019,Activités des agences de placement de main-d'oeuvre (7810Z),
ARMAPRO SUD OUEST,05-12-2014,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts (2593Z)",20 à 49 salariés
Groupe Piment,18-02-2003,Activités des agences de travail temporaire (7820Z),50 à 99 salariés
PRO ARMATURE,24-02-2005,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts (2593Z)",20 à 49 salariés
PRO ARMATURE LANGUEDOC,08-12-2014,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts (2593Z)",10 à 19 salariés
ITAS Sud Ouest,04-04-2017,Travaux d'installation électrique dans tous locaux (4321A),10 à 19 salariés
AGOUR,27-06-2000,Fabrication de fromage (1051C),20 à 49 salariés
Time recrutement,03-04-2015,Conseil pour les affaires et autres conseils de gestion (7022Z),3 à 5 salariés
Charles AUBOURG,,Élevage de chevaux et d'autres équidés (0143Z),
Brun invest,18-12-1954,Activités des sociétés holding (6420Z),20 à 49 salariés
CFATEC,27-03-2007,Conseil pour les affaires et autres conseils de gestion (7022Z),10 à 19 salariés
EUROCAMP/HOMAIR,09-11-2005,Terrains de camping et parcs pour caravanes ou véhicules de loisirs (5530Z),200 à 249 salariés
EXTIA,02-08-2007,"Ingénierie, études techniques (7112B)",500 à 999 salariés
PRUGENT,18-12-2012,Fabrication de meubles de bureau et de magasin (3101Z),50 à 99 salariés
Auterive Emploi Carrière,22-10-2013,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
Hays,24-05-1985,Activités des agences de travail temporaire (7820Z),250 à 499 salariés
SEAC GUIRAUD FRERES,26-03-1962,Fabrication d'éléments en béton pour la construction (2361Z),500 à 999 salariés
AXYAL,19-07-1989,Fabrication de pièces techniques à base de matières plastiques (2229A),20 à 49 salariés
TECHNOFLEX SA,29-09-1972,Fabrication d'emballages en matières plastiques (2222Z),250 à 499 salariés
Design Conception Agency,03-04-1998,Activités des agences de publicité (7311Z),6 à 9 salariés
Supplay,19-11-1969,Activités des agences de travail temporaire (7820Z),500 à 999 salariés
MISSIONS INTERIM,19-01-2005,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
HERVÉ THERMIQUE,24-01-1972,Travaux d'installation d'équipements thermiques et de climatisation (4322B),2000 à 4999 salariés
CHU Hopitaux de Toulouse,,Activités hospitalières (8610Z),10 000 salariés et plus
IRT Saint Exupéry,,"Activités spécialisées, scientifiques et techniques diverses (7490B)",100 à 199 salariés
Babcock Wanson,22-12-2015,"Ingénierie, études techniques (7112B)",100 à 199 salariés
ABW Conseil,27-07-2016,Agences immobilières (6831Z),
Derichebourg Multiservices,18-12-2002,Activités des sociétés holding (6420Z),10 à 19 salariés
LUCIEN GEORGELIN CEREALES,13-09-2017,Autres activités du travail des grains (1061B),20 à 49 salariés
Atalian global services,,Nettoyage courant des bâtiments (8121Z),
CNES - Centre National d'Etudes Spatiales,13-08-1980,Recherche-développement en autres sciences physiques et naturelles (7219Z),2000 à 4999 salariés
Seac,26-03-1962,Fabrication d'éléments en béton pour la construction (2361Z),500 à 999 salariés
LCI,18-03-1994,Edition de chaînes thématiques (6020B),250 à 499 salariés
Sovitrat,29-10-2003,Activités des agences de travail temporaire (7820Z),6 à 9 salariés
AUTODISTRIBUTION,28-03-1973,Centrales d'achat non alimentaires (4619A),250 à 499 salariés
Iveco,28-07-1998,Commerce d'autres véhicules automobiles (4519Z),2000 à 4999 salariés
EDF,17-06-1955,Production d'électricité (3511Z),10 000 salariés et plus
Randstad Périgueux,02-03-1993,Activités des agences de travail temporaire (7820Z),3 à 5 salariés
EDF Energies Nouvelles,23-12-2002,Activités des sièges sociaux (7010Z),1 à 2 salariés
Apave,12-10-2010,Activités des sièges sociaux (7010Z),100 à 199 salariés
UNANIM,11-09-2018,Conseil pour les affaires et autres conseils de gestion (7022Z),
SANDAYA LE COL VERT,23-05-1990,Terrains de camping et parcs pour caravanes ou véhicules de loisirs (5530Z),10 à 19 salariés
JOB32,17-08-2015,Activités des agences de travail temporaire (7820Z),1 à 2 salariés
IN-PRINT,30-11-2009,Autre imprimerie (labeur) (1812Z),6 à 9 salariés
CNIM,04-10-1966,"Ingénierie, études techniques (7112B)",500 à 999 salariés
PCPOURTOUS,04-02-2009,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé (4741Z)",1 à 2 salariés
Adecco France,10-12-2003,Services administratifs combinés de bureau (8211Z),500 à 999 salariés
MAINTRONIC,06-10-1967,Réparation d'ordinateurs et d'équipements périphériques (9511Z),100 à 199 salariés
Spring,23-07-2015,Conseil pour les affaires et autres conseils de gestion (7022Z),