Employability ratio,List of local jobs,Number of local jobs with a strong matching,Number of local jobs that need training,List of companies,Number of relevent companies (if they posted a job + high recruitment potential),Number of companies in relevent industries,Suggested training (best opportunity),Code de la ressource,Nom,Prénom,Date de naissance,Age nombre,Ancienneté,Ancienneté nombre,Code type de contrat,Catégorie socioprofessionnelle,Date de paiement,Indicateur ETP mois,Motif de suspension absence,Suspension =1,Suspension H20,Catégorie conventionnelle,Nom catégorie conventionnelle,Nom niveau echelon,Niveau - Echelon individuel,Bac,Nom du rôle,ROME CODE,emploi sensible GEPP,emploi en dev GEPP,Nom niveau Danone,Pourcentage d'activité,ETP ,Date de début,Date de fin,Nom de l'unité de travail,Nom sous direction,Nom direction,Libellé du lieu de travail,sexe,forfait
,,,,,,,,291603,,,32702,30,42611,3,CDI,C,43976,1,,,#N/A,14,Cadre,9.2,,Bac + 5,Adjointe RH,Laura & Aïna,,,9 Manager,100,1,42611,,SERVICE RELATIONS HUMAINES VILLE,SERVICE RELATIONS HUMAINES VILLE,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,1
,,,,,,,,348665,,,36857,19,43731,0,PRO1,O,43976,1,,,#N/A,30,Ouvrier,4.1,,Bac+2/3,Alternant Technicien de maintenance process,,,O,Non Manager 100,100,1,43731,,USINE DE VILLECOMTAL,USINE DE VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,391326,,,35297,23,43710,0,PRO1,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,7.1,,Bac + 3,Alternante Controle de Gestion Des Flux,,,O,Non Manager 100,100,1,43710,,SERVICE GESTION VILLECOMTAL,SERVICE GESTION VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,56036,,,23376,56,31540,34,CDI,TAM,43976,1,,,#N/A,16,Article 4 bis,8.2,,Bac + 3,Animateur securite,,,,Non Manager 100,100,1,36617,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,1
,,,,,,,,39995,,,26751,47,39114,13,CDI,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,6.2,,Bac+2/3,Animatrice Qualite,,,,Non Manager 100,100,1,40664,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,353097,,,36237,21,43346,1,CAP,O,43976,1,,,#N/A,30,Ouvrier,,,,APPRENTI,,,,Non Manager 100,100,1,43346,,USINE DE VILLECOMTAL,USINE DE VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,391331,,,36398,20,43710,0,CAP,O,43976,1,,,#N/A,30,Ouvrier,5.1,,Bac+2/3,Apprentie Laboratoire,,,,Non Manager 100,100,1,43710,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,391329,,,34295,26,43710,0,CAP,TAM,43976,1,,,#N/A,16,Article 4 bis,8.1,,Bac + 3,Apprentie Securite,,,,Non Manager 100,100,1,43710,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,324356,,,35243,23,42982,2,CAP,TAM,43976,1,,,#N/A,16,Article 4 bis,8.1,,Bac + 3,APRRENTIE PRODUCTION,,,,Non Manager 100,100,1,42982,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,56034,,,21688,61,29204,40,CDI,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,6.3,,Bac+2/3,Assistante de gestion,,,,Non Manager 100,100,1,36617,,SERVICE GESTION VILLECOMTAL,SERVICE GESTION VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,1
,,,,,,,,33376,,,23532,56,34760,25,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,36101,,,27377,45,35380,23,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,37949,,,24214,54,32447,31,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,68.57,0.6857,37865,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,42026,,,27018,46,35964,22,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,44722,,,22914,57,30970,35,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,50685,,,23035,57,32672,31,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,56037,,,22272,59,30303,37,CDI,O,43976,1,,,#N/A,30,Ouvrier,4.2,,Bac+2/3,Conducteur d Installation Fruits,,O,,Non Manager 100,100,1,36617,,SERVICE FRUITS,SCE FRUITS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,30388,,,24222,54,31859,33,CDI,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,5.2,,Bac+2/3,Conducteur d Installation Process,,,,Non Manager 100,100,1,36617,,SERVICE PASTEURISATION,SCE PASTEURISATION,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,33368,,,22194,59,29507,39,CDI,TAM,43976,0.5,,,1,20,Agent de Maîtrise,5.3,,Bac+2/3,Conducteur d Installation Process,,,,Non Manager 100,50,0.5,36617,,SERVICE PASTEURISATION,SCE PASTEURISATION,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,353096,,,21760,60,43268,2,CDI,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,5.2,62,Bac+2/3,Conducteur d Installation Process,,,,Non Manager 100,100,1,43891,,SERVICE PASTEURISATION,SCE PASTEURISATION,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,36071,,,24163,54,36982,19,CDI,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,6.1,,Bac+2/3,Conducteur d Installation Process,,,,Non Manager 100,100,1,37073,,SERVICE PROCESS,SCE PROCESS,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,45737,,,22034,60,39356,12,CDI,TAM,43976,1,,,#N/A,20,Agent de Maîtrise,5.2,,Bac+2/3,Conducteur d Installation Process,,,,Non Manager 100,100,1,40664,,SERVICE PASTEURISATION,SCE PASTEURISATION,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,29296,,,29652,39,37805,16,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,38901,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,30378,,,26858,46,36557,20,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,68.57,0.6857,37438,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,30390,,,25457,50,34039,27,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,33370,,,22861,57,30339,37,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,33374,,,22617,58,30258,37,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,33375,,,23235,56,31748,33,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,33379,,,24773,52,33963,27,CDI,O,43976,1,,,1,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,33866,,,27669,44,39383,12,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,40664,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,35196,,,24709,52,37805,16,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,68.57,0.6857,38901,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,35228,,,29587,39,37805,16,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,38901,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,36089,,,24049,54,33512,28,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,68.57,0.6857,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,39169,,,25074,51,33857,27,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,39174,,,27697,44,35521,23,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,5.3,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,68.57,0.6857,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,39175,,,26742,47,35521,23,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,42033,,,22846,57,32633,31,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.1,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,44113,,,27326,45,37805,16,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,38901,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,44727,,,24201,54,33609,28,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,44732,,,25785,49,34755,25,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,50683,,,22615,58,30179,37,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,52319,,,24065,54,38363,15,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,68.57,0.6857,39458,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,53283,,,22049,60,31122,35,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,56031,,,23259,56,32143,32,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,5.3,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,68.57,0.6857,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,56038,,,23780,55,34029,27,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,29860,,,22314,59,36220,21,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de palettiseur centralise,,,,Non Manager 100,68.57,0.6857,37631,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,35195,,,27017,46,37541,17,CDI,O,43976,0.69,,,#N/A,30,Ouvrier,5.3,,Bac+2/3,Conducteur de palettiseur centralise,,,,Non Manager 100,68.57,0.6857,37631,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,36093,,,23059,57,31922,33,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de palettiseur centralise,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,56040,,,25218,51,33750,28,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conducteur de palettiseur centralise,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,297445,,,29764,38,42659,3,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conductrice de ligne,,,,Non Manager 100,100,1,42751,,SERVICE GESTION QUALITÉ VILLECOM,SERVICE GESTION QUALITÉ VILLECOM,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,32018,,,27696,44,37805,16,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conductrice de ligne,,,,Non Manager 100,100,1,38901,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,39795,,,28210,43,38991,13,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conductrice de ligne,,,,Non Manager 100,100,1,40422,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,42036,,,22669,58,34201,26,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conductrice de ligne,,,,Non Manager 100,100,1,36617,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,297442,,,29479,39,42826,3,CDI,O,43976,1,,,#N/A,30,Ouvrier,5.2,,Bac+2/3,Conductrice de Palettiseur Centralise,,,,Non Manager 100,100,1,42917,,SERV. PRODUCTION VIL,SERV EXPLOIT CONDITIONNEMENT VIL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Féminin,0
,,,,,,,,30379,,,24852,52,36448,20,CDI,TAM,43976,0.74,,,#N/A,20,Agent de Maîtrise,6.2,,Bac+2/3,coordinateur,,,,Non Manager 100,74.28,0.7428,36831,,SERVICE GESTION VILLECOMTAL,SERVICE GESTION VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
,,,,,,,,31220,,,22088,60,39356,12,CDI,TAM,43976,0.74,,,1,20,Agent de Maîtrise,6.2,,Bac+2/3,coordinateur,,,,Non Manager 100,74.28,0.7428,40664,,SERVICE GESTION VILLECOMTAL,SERVICE GESTION VILLECOMTAL,DIR. INDUSTRIELLE,US DE VILLECOMTAL,Masculin,0
